album_name,composer,director,orchestra,solist,instrument,obra_type,nota,obra_number,opus_number,cd_number
,"BEETHOVEN, LUDWIG VAN-1770/1827","GIULINI, CARLO M.","PHILHARMONIA DE LONDRES","PERLMAN, ITZHAK","VIOLIN","CONCIERTO","RE MEYOR",,61,,,,232,09/04/94
"ARCHIDUQUE","BEETHOVEN, LUDWIG VAN-1770/1827",,,"ASHKENAZY, PERLMAN Y HARRELL","PIANO, VIOLIN Y CELLO","TRIO","SI BEMOL MAYOR",6,97,,,138,240,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"ASHKENAZY, PERLMAN Y HARRELL","PIANO, VIOLIN Y CELLO","TRIO","SI BEMOL MAYOR",10,39,,,138,240,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","JOCHUM, EUGEN","FILARMONICA DE VIENA","POLLINI, MAURIZIO","PIANO","CONCIERTO","SI BEMOL MAYOR",2,19,,,,254,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","BOHM, KARL","FILARMONICA DE VIENA","POLLINI, MAURIZIO","PIANO","CONCIERTO","SOL MAYOR",4,58,,,,254,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","BARENBOIM, DANIEL","FILARMONICA DE LONDRES","ZUCKERMAN, PINCHAS","VIOLIN","ROMANZA","SOL MAYOR",1,40,,,53,268,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","BARENBOIM, DANIEL","FILARMONICA DE LONDRES","ZUCKERMAN, PINCHAS","VIOLIN","ROMANZA","FA MAYOR",2,50,,,53,268,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"LA SALLE QUARTET",,"CUERDAS","CUARTETO","MI BEMOL MAYOR",12,127,,,165,276,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"LA SALLE QUARTET",,"CUERDAS","CUARTETO","FA MAYOR",16,135,,,166,276,09/04/94
"FINAL DEL...","BEETHOVEN, LUDWIG VAN-1770/1827",,"LA SALLE QUARTET",,"CUERDAS","CUARTETO","SI BEMOL MAYOR",13,130,,,165,276,09/04/94
"APASSIONATTA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"GILELS, EMIL","PIANO","SONATA","FA MENOR",23,57,,,11,286,09/04/94
"WALDSTEIN","BEETHOVEN, LUDWIG VAN-1770/1827",,,"GILELS, EMIL","PIANO","SONATA","DO MAYOR",21,53,,,166,286,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"CUARTETO FITSWILLIAN",,"CUERDAS","CUARTETO","SI BEMOL MAYOR",13,130,,,179,300,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"CUARTETO FITSWILLIAN",,"CUERDAS","GRAN FUGA","SI BEMOL MAYOR",,133,,,179,300,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"CUARTETO ALBAN BERG",,"CUERDAS","CUARTETO","LA MENOR",15,132,,,165,307,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"CUARTETO ALBAN BERG",,"CUERDAS","CUARTETO","DO SOSTENIDO MENOR",14,131,,,187,319,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","BARENBOIM, DANIEL","DE CAMARA INGLESA","BARENBOIM, DANIEL","PIANO","CONCIERTO","RE MAYOR",,61,,,197,334,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"LEVINE, J. Y HARRELL, L.","PIANO Y CELLO","SONATA","FA MAYOR",1,5,,,200,999,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"LEVINE, J. Y HARRELL, L.","PIANO Y CELLO","SONATA","SOL MENOR",2,5,,,200,999,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"LEVINE, J. Y HARRELL, L.","PIANO Y CELLO","SONATA","LA MAYOR",3,69,,,200,999,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"LEVINE, J. Y HARRELL, L.","PIANO Y CELLO","SONATA","DO MAYOR",4,102,,,200,999,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"LEVINE, J. Y HARRELL, L.","PIANO Y CELLO","SONATA","RE MAYOR",5,102,,,201,999,09/06/94
"LA VICTORIA DE WELLINGTON","BEETHOVEN, LUDWIG VAN-1770/1827","ORMANDY, EUGENE","DE FILADELFIA",,,"OBERTURA",,,91,,,,336,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"KREMER, G. Y ARGERICH, M.","VIOLIN Y PIANO","SONATA","RE MAYOR",1,12,,,201,342,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"KREMER, G. Y ARGERICH, M.","VIOLIN Y PIANO","SONATA","LA MAYOR",2,12,,,197,342,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"KREMER, G. Y ARGERICH, M.","VIOLIN Y PIANO","SONATA","MI BEMOL MAYOR",3,12,,,197,342,09/06/94
"ESPIRITU","BEETHOVEN, LUDWIG VAN-1770/1827",,,"ISTOMIN, E.STERN, I. Y ROSE, L","PIANO, VIOLIN Y CELLO","TRIO","RE MAYOR",4,70,76,,208,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"ISTOMIN, E.STERN, I. Y ROSE, L","PIANO, VIOLIN Y CELLO","TRIO","MI BEMOL MAYOR",5,70,,,208,,09/06/94
"EGMONT  (COMPLETA)","BEETHOVEN, LUDWIG VAN-1770/1827","ABRAVANEL, MAURICE","SINFONICA DE UTAH",,,"MUSICA INCIDENTAL",,,84,,,219,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","BUNTE, CARL-AUGUST","SINFONICA DE BERLIN","GALLING, MARTIN","PIANO","CONCIERTO","MI BEMOL MAYOR",,-4,,,214,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","BUNTE, CARL-AUGUST","SINFONICA DE BERLIN","GALLING, MARTIN","PIANO","CONCIERTO","RE MAYOR (EN 1 MOVI)",,0,,,214,,09/06/94
"DEL DESTINO","BEETHOVEN, LUDWIG VAN-1770/1827",,,"GOULD, GLENN","PIANO= TRANSCRIPCION:LISZT, F.","SINFONIA","DO MENOR",5,67,,,220,,09/06/94
"RULE BRITANIA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","VARIACIONES",,,0,,,220,,09/06/94
"GOD SAVE THE KING","BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","VARIACIONES",,,0,,,220,,09/06/94
"MARCHA TURCA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","VARIACIONES",,,0,,,220,,09/06/94
"PARA ELISA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","BAGATELA","LA MENOR",,-59,,,220,,09/06/94
"A CAPRICCIO","BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","RONDO","SOL MAYOR",,129,,,220,,09/06/94
"ZIEMLICH LEBHAFT","BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","CANCION","SI BEMOL MAYOR",,"WO.60",,,220,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","POLONESA","DO MAYOR",,89,,,220,,09/06/94
"FAVORITO","BEETHOVEN, LUDWIG VAN-1770/1827",,,"BRENDEL, ALFRED","PIANO","ANDANTE","FA MAYOR",,160,,,220,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"CONJ.CAM.ORQ.SINF.DE BAMBERG",,"CUERDAS Y VIENTOS","SEPTIMINO","MI BEMOL MAYOR",,20,,,221,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"LANCELOT, J. Y MONGUE, P.","CLARINETE Y FAGOT","DUETO",,,-27,,,221,,09/06/94
"33=VALS DE A. DIABELLI","BEETHOVEN, LUDWIG VAN-1770/1827",,,"RICHTER-HAASER, HANS","PIANO","VARIACIONES",,,120,,,222,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"VEYRON-LACROIX, R. RAMPAL, J.P","PIANO Y FLAUTA","VARIACIONES",,,105,,,223,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"VEYRON-LACROIX, R. RAMPAL, J.P","PIANO Y FLAUTA","TRIO","EN SOL MAYOR",,0,,,223,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"CUARTETO WELLER","LINDER, A. Y RUTTEM, W.","2 CORNOS Y CUERDAS","SEXTETO","MI",,81,,,223,,09/06/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"RICHTER, SVIATOSLAV","PIANO","SONATA","DO MAYOR",3,2,,,243,,09/06/94
